JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,C/H
599,LAI07,BS16472-018,2MASS_J14562106+0152348,'-2.46,'-2.58
600,AOK05,CS30325-028,2MASS_J15051979+0617069,'-2.74,'-2.23
601,LAI07,CS30325-028,2MASS_J15051979+0617069,'-2.79,'-2.11
602,LAI08,CS30325-028,2MASS_J15051979+0617069,'-2.89,'-2.43
605,BON09,BS16472-070,2MASS_J15082967-0035591,'-2.75,'-2.4
611,AOK02d,CS30301-015,2MASS_J15085684+0230184,'-2.64,'-0.95
612,COH06,HE1509-0806,2MASS_J15114157-0817401,'-2.96,'-0.77
613,COH13,HE1509-0806,2MASS_J15114157-0817401,'-2.91,'-0.81
614,AOK05,CS30306-132,2MASS_J15141890+0727028,'-2.4,'-1.93
615,HON04,CS30306-132,2MASS_J15141890+0727028,'-2.41,'-1.95
617,ROE14b,CS22890-024,2MASS_J15160539-0003578,'-2.77,'-2.46
618,LAI07,BS16551-058,2MASS_J15185499-0854118,'-2.01,'-2.68
619,AOK07a,HE1523-1155,2MASS_J15264103-1205426,'-2.2,'-0.33
620,AOK07a,HE1528-0409,2MASS_J15305430-0419404,'-2.65,'-0.23
621,LAI07,CS30329-129,2MASS_J15313906-0648397,'-2.41,'-2.13
622,AOK05,CS30312-059,2MASS_J15344884-0123372,'-3.04,'-2.83
624,LAI08,CS30312-059,2MASS_J15344884-0123372,'-3.13,'-2.78
625,ROE14b,CS30312-059,2MASS_J15344884-0123372,'-3.41,'-3.18
627,AOK07a,CS30312-100,2MASS_J15433166+0201174,'-2.38,'-1.83
629,MAS12,CS30312-100,2MASS_J15433166+0201174,'-2.75,'-2.35
630,ROE14b,CS30312-100,2MASS_J15433166+0201174,'-2.69,'-2.42
631,LAI08,CS22884-0108,2MASS_J15495758-0914092,'-3.13,<-2.13
632,ROE14b,CS22884-108,2MASS_J15495758-0914092,'-3.1,<-1.73
633,CAS15,J155730.10-293922.7,2MASS_J15573010-2939228,'-3.02,'-3.02
635,LI15a,LAMOSTJ1626+1721,2MASS_J16261477+1721121,'-3.2,'-2.13
636,AOK05,BS16084-160,2MASS_J16285078+5437067,'-3.1,'-3.23
637,LAI07,BS16084-160,2MASS_J16285078+5437067,'-2.93,'-2.95
638,LAI08,BS16084-160,2MASS_J16285078+5437067,'-3.19,'-3.23
639,AOK05,BS16080-054,2MASS_J16391853+6057426,'-2.89,'-3.79
640,LAI07,BS16080-054,2MASS_J16391853+6057426,'-2.74,'-3.11
641,LAI08,BS16080-054,2MASS_J16391853+6057426,'-3.06,'-3.43
645,CAY04,CS22878-101,2MASS_J16453144+0814454,'-3.29,'-3.45
646,LAI07,CS22878-101,2MASS_J16453144+0814454,'-2.93,'-3.25
647,MCW95,CS22878-101,2MASS_J16453144+0814454,'-3.11,'-3.33
648,ROE14a,CS22878-101,2MASS_J16453144+0814454,'-3.53,'-3.9
649,ROE14b,CS22878-101,2MASS_J16453144+0814454,'-3.53,'-3.9
652,PRE06,CS22878-121,2MASS_J16475003+1139112,'-2.38,'-2.63
653,LAI07,BS16080-093,2MASS_J16503830+5913064,'-2.73,'-3.1
654,LAI08,BS16080-093,2MASS_J16503830+5913064,'-3.18,<-3.73
655,AOK08,SDSS1707+58,2MASS_J17073392+5850598,'-2.57,'-0.43
656,LI15a,LAMOSTJ1709+1616,2MASS_J17095978+1616133,'-3.71,'-2.13
657,COH09,Draco21456,2MASS_J17181038+5752090,'-2.39,'-2.67
662,COH09,Draco19219,2MASS_J17214368+5757126,'-3.06,'-2.53
663,COH09,Draco19629,2MASS_J17215819+5756042,'-2.7,'-2.93
664,MEL16,2MASSJ18082002-5104378,2MASS_J18082002-5104378,'-4.07,<-3.13
665,CAS15,J181503.64-375120.7,2MASS_J18150365-3751206,'-2.84,'-2.69
666,CAS15,J183713.28-314109.3,2MASS_J18371329-3141091,'-2.7,'-3.31
668,HOL11,CS22891-200,2MASS_J19351908-6142243,'-3.92,'-3.34
669,MCW95,CS22891-200,2MASS_J19351908-6142243,'-3.47,'-2.83
670,ROE14a,CS22891-200,2MASS_J19351908-6142243,'-4.06,'-3.53
671,ROE14b,CS22891-200,2MASS_J19351908-6142243,'-4.06,'-3.53
674,CAY04,CS22891-209,2MASS_J19420216-6103446,'-3.29,'-3.85
675,MCW95,CS22891-209,2MASS_J19420216-6103446,'-3.18,'-3.53
676,ROE14b,CS22891-209,2MASS_J19420216-6103446,'-3.49,'-3.91
681,CAY04,CS22896-154,2MASS_J19422688-5658340,'-2.68,'-2.37
682,MCW95,CS22896-154,2MASS_J19422688-5658340,'-2.71,'-2.43
688,CAY04,CS22873-055,2MASS_J19534978-5940001,'-2.98,'-3.63
691,MCW95,CS22873-128,2MASS_J20070379-5834575,'-2.86,'-2.68
692,ROE14b,CS22873-128,2MASS_J20070379-5834575,'-3.32,'-3.2
697,CAY04,CS22885-096,2MASS_J20205117-3953301,'-3.81,'-3.43
698,MCW95,CS22885-096,2MASS_J20205117-3953301,'-3.77,'-3.33
699,NOR01,CS22885-096,2MASS_J20205117-3953301,'-3.66,'-2.82
700,NOR02,CS22885-096,2MASS_J20205117-3953301,'-3.66,'-2.82
701,ROE14b,CS22885-096,2MASS_J20205117-3953301,'-4.41,'-3.81
705,MCW95,CS22950-046,2MASS_J20212839-1316336,'-3.38,'-3.33
706,ROE14b,CS22950-046,2MASS_J20212839-1316336,'-4.12,'-3.51
708,ROE14b,CS22943-137,2MASS_J20262899-4300426,'-3.64,'-3.0
710,LAI07,CS22950-153,2MASS_J20323450-1547579,'-2.1,'-2.12
713,LAI08,CS30336-049,2MASS_J20452353-2842359,'-4.03,'-4.23
714,YON13,CS30336-049,2MASS_J20452353-2842359,'-4.1,<-3.87
715,BAR05,CS30308-035,2MASS_J20455414-4450293,'-3.35,'-3.35
720,AOK02a,CS30314-067,2MASS_J20525098-3419405,'-2.85,'-2.26
721,ROE14a,CS30314-067,2MASS_J20525098-3419405,'-3.31,'-2.46
722,ROE14b,CS30314-067,2MASS_J20525098-3419405,'-3.31,'-2.46
725,CAY04,CS22897-008,2MASS_J21031185-6505088,'-3.42,'-2.76
726,MCW95,CS22897-008,2MASS_J21031185-6505088,'-3.33,'-2.88
727,ROE14b,CS22897-008,2MASS_J21031185-6505088,'-3.83,'-3.23
732,AOK02c,CS29498-043,2MASS_J21035211-2942502,'-3.75,'-1.73
733,AOK02d,CS29498-043,2MASS_J21035211-2942502,'-3.75,'-1.76
734,ROE14a,CS29498-043,2MASS_J21035211-2942502,'-3.87,'-1.12
735,ROE14b,CS29498-043,2MASS_J21035211-2942502,'-3.87,'-1.12
736,ALL12,CS22898-027,2MASS_J21054509-1836574,'-2.3,0.16
738,LAI07,CS22898-027,2MASS_J21054509-1836574,'-2.29,'-0.71
739,MAS12,CS22898-027,2MASS_J21054509-1836574,'-2.54,'-0.43
740,MCW95,CS22898-027,2MASS_J21054509-1836574,'-2.34,'-0.33
741,PRE01,CS22898-027,2MASS_J21054509-1836574,'-2.17,'-0.13
742,ROE14a,CS30492-001,2MASS_J21055523-4210101,'-2.62,'-2.4
743,ROE14b,CS30492-001,2MASS_J21055523-4210101,'-2.62,'-2.4
744,AOK05,CS30319-020,2MASS_J21193930-2652395,'-2.35,'-2.03
745,ROE14b,CS30492-110,2MASS_J21214583-3808579,'-3.27,'-3.15
746,HOL11,HE2123-0329,2MASS_J21260896-0316587,'-3.22,'-2.82
747,AOK07a,CS30322-023,2MASS_J21303218-4616247,'-3.3,'-2.73
748,MAS06,CS30322-023,2MASS_J21303218-4616247,'-3.44,'-2.83
749,MAS12,CS30322-023,2MASS_J21303218-4616247,'-3.38,'-2.83
750,PRE06,CS22948-006,2MASS_J21331768-3939428,'-2.62,'-2.13
751,BAR05,HE2133-1432,2MASS_J21362253-1419203,'-2.02,'-1.94
752,REN12,HE2133-1432,2MASS_J21362253-1419203,'-2.02,'-1.78
755,CAY04,CS29495-041,2MASS_J21363327-2818485,'-2.81,'-2.8
757,BAR05,HE2134+0001,2MASS_J21370818+0015045,'-2.22,'-2.05
758,REN12,HE2134+0001,2MASS_J21370818+0015045,'-2.22,'-1.9
759,AOK02a,CS22948-027,2MASS_J21374577-3927223,'-2.57,'-0.48
760,AOK07a,CS22948-027,2MASS_J21374577-3927223,'-2.26,'-0.13
761,BAB05,CS22948-027,2MASS_J21374577-3927223,'-2.47,0.06
762,PRE01,CS22948-027,2MASS_J21374577-3927223,'-2.79,'-0.6
763,ROE14b,CS29495-042,2MASS_J21391140-2817544,'-2.54,'-1.47
764,HOL11,HE2138-0314,2MASS_J21404159-0301171,'-3.29,'-2.51
765,BAR05,HE2139-1851,2MASS_J21422951-1837506,'-3.24,'-2.79
766,PRE06,CS22944-039,2MASS_J21451226-1441248,'-2.41,'-2.63
767,BAR05,CS30343-063,2MASS_J21451750-3722185,'-2.97,'-3.68
768,BAR05,HE2143+0030,2MASS_J21461207+0044457,'-2.43,'-2.83
770,LAI07,CS22944-032,2MASS_J21474322-1340227,'-2.64,'-1.86
771,LAI08,CS22944-032,2MASS_J21474322-1340227,'-2.97,'-2.58
772,ROE14b,CS22944-032,2MASS_J21474322-1340227,'-3.22,'-2.94
775,COH03,HE2148-1247,2MASS_J21511791-1233417,'-2.37,'-0.35
