JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,O/H
2035,HAN15,HE0945-1435,HE_0945-1435,'-3.87,<0.13
2043,HAN15,HE1241-2907,HE_1241-2907,'-3.0,<0.9
2048,FRE08,HE1327-2326,HE_1327-2326,'-5.71,'-1.85
2049,FRE08,"HE1327-2326 (3D)",HE_1327-2326,'-6.01,'-2.57
2062,CAY04,CS22948-066,HE_2141-3741,'-3.15,'-2.2
2065,ROE14a,CS22948-066,HE_2141-3741,'-3.5,<-2.12
2066,ROE14b,CS22948-066,HE_2141-3741,'-3.5,<-2.12
2073,HAN15,HE2208-1239,HE_2208-1239,'-2.88,<-1.48
2082,HAN15,HE2331-7155,HE_2331-7155,'-3.68,<-1.98
2084,COH09,Draco3157,Irwin_Dra_21275,'-2.5,'-1.91
2093,ROE14b,G180-58,LHS_3199,'-2.6,<-1.54
2101,AOK02b,LP625-44,LP_625-44,'-2.72,'-0.69
2106,RIC09,LP635-14,LP_635-14,'-2.71,'-1.82
2109,RIC09,LP651-4,LP_651-4,'-2.89,'-1.86
2120,RIC09,LP815-43,LP_815-43,'-2.76,'-1.68
2126,RIC09,LP831-70,LP_831-70,'-3.06,'-2.27
2128,ROE08,HKII17435-00532,HKII_17435-00532,'-2.23,'-1.13
2136,KEL14,SMSSJ031300.36-670839.3,SMSS_J031300.36-670839.3,<-7.3,<-2.12
2145,RIC09,HE1208-0040,Ross_453,'-2.29,'-1.45
2147,RIC09,G206-34,Ross_711,'-3.12,'-2.19
2159,RIC09,G64-37,Ross_841,'-3.28,'-2.14
2167,RIC09,HE0938+0114,Ross_889,'-2.67,'-1.58
2168,ROE14b,HE0938+0114,Ross_889,'-3.09,'-2.5
2172,ROE14b,CS29514-018,SB_467,'-2.84,'-2.2
2529,HAN15,HE0440-3426,TYC_7042-1098-1,'-2.19,'-1.5
2536,HAN15,HE0448-4806,TYC_8080-239-1,'-2.26,<-0.36
2538,ROE14b,CS22943-095,TYC_8406-355-1,'-2.52,'-2.15
2551,ROE14b,CS22953-037,UCAC2_5736774,'-3.21,<-2.71
2567,COH13,HE2204-4034,UCAC4_249-182937,'-2.98,<-0.39
2579,COH13,HE2215-2548,UCAC4_323-223299,'-3.01,<-1.36
2582,COH08,HE0132-2429,UCAC4_328-001740,'-3.6,<-1.74
2602,COH13,HE0130-1749,UCAC4_363-001823,'-3.34,'-1.12
2627,COH13,HE2251-0821,UCAC4_410-143653,'-2.91,<-1.28
2633,COH13,HE1141-0610,UCAC4_418-054821,'-2.28,'-1.3
2654,COH06,HE1410-0004,UCAC4_449-055625,'-3.07,'-1.79
2655,COH13,HE1410-0004,UCAC4_449-055625,'-3.02,'-1.85
2658,COH13,HE0226+0103,UCAC4_457-003214,'-2.81,<-1.83
2663,COH08,HE1300+0157,UCAC4_459-050836,'-3.44,'-1.56
2664,COH13,HE1300+0157,UCAC4_459-050836,'-3.49,'-1.82
2665,FRE07a,HE1300+0157,UCAC4_459-050836,'-3.78,'-2.15
2673,CAY04,BS16467-062,UCAC4_540-054307,'-3.83,0.05
2674,COH08,BS16467-062,UCAC4_540-054307,'-3.52,<-1.54
2675,COH13,BS16467-062,UCAC4_540-054307,'-3.46,<-1.6
2695,ROE14b,CS22886-013,V*_FV_Aqr,'-2.58,'-2.55
2709,ROE14b,CS30312-062,V*_V456_Ser,'-2.64,'-2.89
2713,ROE14b,G15-10,Wolf_1137,'-2.53,'-1.39
2715,AOK06,G64-12,Wolf_1492,'-3.25,'-2.35
2727,RIC09,G64-12,Wolf_1492,'-3.45,'-2.06
2728,ROE14b,G64-12,Wolf_1492,'-3.58,<-2.93
